Order_ID,Customer_Age,Customer_Type,Restaurant_Type,Cuisine_Type,Delivery_Distance_KM,Delivery_Time_Min,Order_Value_USD,Item_Count,Weather_Condition,Traffic_Level,Customer_Rating,Complaint_Flag,Refund_Flag,Revenue_USD,Profit_USD,City,Month,Quarter,Demand_Score,Churn_Risk
ORD0059771,25,Premium,Cloud Kitchen,Indian,13.58,30,252.57,2,Rainy,High,4.2,0,0,331.57,162.47,Singapore,10,4,9.49,22.81
ORD0021363,37,New,Fast Food,Indian,24.06,86,180.92,9,Stormy,Low,2.4,0,0,460.77,36.55,Sydney,9,3,56.39,98.34
ORD0127325,52,Returning,Cloud Kitchen,Indian,8.04,50,101.83,2,Sunny,High,2.5,1,0,402.03,9.97,Singapore,5,2,18.02,70.39
ORD0140510,37,Premium,Fast Food,Indian,19.94,56,70.09,14,Stormy,Low,2.6,0,0,116.04,164.41,Mumbai,6,2,82.86,11.35
ORD0144298,63,New,Fast Food,Chinese,5.91,117,203.25,10,Cloudy,Medium,1.1,0,0,86.7,18.26,London,2,1,52.04,70.76
ORD0096371,73,Premium,Fast Food,Italian,23.17,14,14.14,3,Cloudy,Low,3.5,0,0,317.86,111.13,Mumbai,9,3,87.97,78.39
ORD0049743,38,New,Fast Food,Indian,18.09,109,149.48,9,Sunny,High,4.1,0,0,337.9,138.31,Singapore,2,1,33.12,43.32
ORD0047390,19,Premium,Cafe,Chinese,5.9,33,10.06,14,Rainy,High,2.8,0,0,57.53,99.41,New York,7,3,33.78,55.4
ORD0058379,24,New,Restaurant,Italian,6.38,20,143.56,8,Rainy,Low,1.9,0,0,10.08,184.31,New York,11,4,51.69,38.56
ORD0069048,71,Premium,Cafe,Mexican,4.54,21,182.4,3,Sunny,Low,1.1,0,0,243.78,108.61,Singapore,12,4,52.41,36.11
ORD0041981,49,Premium,Restaurant,Italian,4.07,112,63.09,2,Rainy,Medium,4.2,0,0,119.2,17.74,New York,1,1,30.63,80.6
ORD0088783,53,Premium,Cafe,Mexican,24.86,55,219.75,11,Cloudy,Low,2.6,0,0,115.06,166.27,New York,9,3,68.43,50.84
ORD0070772,41,Returning,Restaurant,Chinese,8.53,91,78.09,8,Rainy,High,1.1,0,1,357.45,163.77,Singapore,3,1,86.09,55.0
ORD0020217,66,Returning,Cloud Kitchen,Mexican,22.28,111,93.21,8,Stormy,Medium,4.9,0,0,325.87,128.39,Mumbai,3,1,70.53,69.6
ORD0080725,43,Returning,Cloud Kitchen,Italian,6.89,99,26.48,1,Cloudy,High,2.4,0,0,60.55,117.67,Sydney,2,1,81.55,42.67
ORD0096907,73,Returning,Fast Food,Italian,14.8,89,244.23,14,Sunny,Medium,4.1,0,0,290.24,116.21,Sydney,9,3,6.69,42.32
ORD0081422,23,New,Restaurant,Mexican,20.81,97,18.27,9,Rainy,High,1.6,1,0,185.06,147.35,New York,6,2,32.93,36.98
ORD0109510,34,Returning,Fast Food,Italian,2.69,19,223.85,5,Sunny,High,2.0,0,0,113.67,-5.56,New York,12,4,34.08,86.33
ORD0001877,48,Returning,Cloud Kitchen,Italian,9.68,88,263.37,10,Rainy,Medium,2.0,1,0,317.95,86.59,New York,8,3,51.27,25.93
ORD0046384,25,Returning,Restaurant,Mexican,23.53,107,217.72,13,Rainy,Medium,3.2,0,0,260.67,104.62,New York,3,1,55.67,85.71
ORD0007488,43,New,Fast Food,Indian,11.74,15,70.99,6,Stormy,High,1.4,0,0,344.13,89.5,London,4,2,42.23,23.23
ORD0018049,28,Premium,Restaurant,Indian,23.55,43,77.19,2,Stormy,High,3.2,0,1,255.34,26.64,Singapore,8,3,12.84,43.26
ORD0029282,51,New,Restaurant,Italian,18.91,18,216.0,3,Stormy,Low,1.3,0,0,312.4,10.55,Mumbai,9,3,92.62,49.42
ORD0051011,62,New,Cloud Kitchen,Chinese,17.9,73,213.48,8,Rainy,Low,4.5,0,0,288.68,34.41,London,9,3,8.35,46.35
ORD0076505,28,Premium,Fast Food,Italian,22.67,88,115.67,4,Sunny,High,3.0,0,0,33.1,60.82,New York,8,3,64.97,72.49
ORD0134481,52,New,Restaurant,Chinese,23.43,44,32.78,12,Rainy,High,2.5,0,0,430.76,182.98,Sydney,8,3,6.9,75.56
ORD0100165,39,Returning,Cloud Kitchen,Chinese,10.42,67,215.75,9,Rainy,Low,1.7,0,0,350.26,15.66,London,2,1,11.59,83.21
ORD0025706,53,New,Fast Food,Chinese,8.51,107,112.98,9,Stormy,High,4.7,0,0,471.66,25.59,Mumbai,4,2,92.61,43.37
ORD0096399,23,Returning,Cloud Kitchen,Indian,10.96,77,229.6,1,Cloudy,Medium,1.1,0,0,442.76,27.85,Mumbai,9,3,91.84,22.85
